epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,216.462,1.13886,1.85704,1.68509,1.316,0.85199,0.52778,0.5725,0.37355,0.80369,0.47222,0.48457,0.2991,1.01944,2.77513,2.10254,1.21245,0.00104703,0.00104703,0.00104703
29,224.162,0.97428,1.59407,1.6181,1.25743,0.83933,0.59028,0.56143,0.33933,0.73337,0.49553,0.47766,0.27978,1.13398,2.86452,2.58909,1.26021,0.00103288,0.00103288,0.00103288
30,231.786,1.24686,1.94166,1.75856,1.40905,0.83933,0.59028,0.56143,0.33933,0.73337,0.49553,0.47766,0.27978,1.13398,2.86452,2.58909,1.26021,0.00101873,0.00101873,0.00101873
31,239.514,1.1454,1.95869,1.67686,1.31505,0.79397,0.47917,0.51249,0.27913,0.75897,0.48221,0.46124,0.23409,1.31519,3.14392,2.94526,1.39048,0.00100459,0.00100459,0.00100459
32,247.599,1.11677,1.72068,1.72127,1.30764,0.79397,0.47917,0.51249,0.27913,0.75897,0.48221,0.46124,0.23409,1.31519,3.14392,2.94526,1.39048,0.00099044,0.00099044,0.00099044
33,255.248,1.10635,1.76214,1.70357,1.31338,0.78581,0.55547,0.52462,0.27945,0.7241,0.50412,0.44474,0.27349,1.18007,2.31957,2.78293,1.30785,0.000976293,0.000976293,0.000976293
34,263.171,0.99214,1.66606,1.60855,1.23061,0.78581,0.55547,0.52462,0.27945,0.7241,0.50412,0.44474,0.27349,1.18007,2.31957,2.78293,1.30785,0.000962146,0.000962146,0.000962146
35,270.909,1.07128,1.75623,1.66548,1.30339,0.78581,0.55547,0.52462,0.27945,0.7241,0.50412,0.44474,0.27349,1.18007,2.31957,2.78293,1.30785,0.000947999,0.000947999,0.000947999
36,278.924,1.10274,1.69347,1.46633,1.29106,0.77358,0.53099,0.5009,0.27722,0.74676,0.45662,0.45404,0.28328,1.14807,2.38464,2.59937,1.2723,0.000933851,0.000933851,0.000933851
37,286.51,1.10724,1.89527,1.69859,1.35525,0.77358,0.53099,0.5009,0.27722,0.74676,0.45662,0.45404,0.28328,1.14807,2.38464,2.59937,1.2723,0.000919704,0.000919704,0.000919704
38,294.086,1.03356,1.71372,1.65987,1.32348,0.80784,0.47222,0.5268,0.32252,0.73872,0.41667,0.45622,0.29908,1.05509,2.28774,2.20497,1.21984,0.000905557,0.000905557,0.000905557
39,301.865,0.9502,1.57561,1.48306,1.21463,0.80784,0.47222,0.5268,0.32252,0.73872,0.41667,0.45622,0.29908,1.05509,2.28774,2.20497,1.21984,0.00089141,0.00089141,0.00089141
40,309.706,0.96198,1.52682,1.38464,1.20077,0.86666,0.47222,0.56504,0.3451,0.75641,0.41886,0.4944,0.31544,1.04603,2.36206,2.25436,1.22878,0.000877263,0.000877263,0.000877263
41,317.474,1.16763,1.68653,1.60544,1.35004,0.86666,0.47222,0.56504,0.3451,0.75641,0.41886,0.4944,0.31544,1.04603,2.36206,2.25436,1.22878,0.000863116,0.000863116,0.000863116
