epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,186.481,1.44057,2.66604,2.15932,1.5393,0.81699,0.46563,0.49367,0.30772,0.73097,0.41199,0.42025,0.23019,1.32939,3.08226,2.85047,1.48837,0.00113191,0.00113191,0.00113191
23,194.926,1.26919,2.62576,2.0919,1.39162,0.81699,0.46563,0.49367,0.30772,0.73097,0.41199,0.42025,0.23019,1.32939,3.08226,2.85047,1.48837,0.00111776,0.00111776,0.00111776
24,203.182,1.39811,2.86491,2.21585,1.56412,0.74575,0.52778,0.45134,0.28785,0.75669,0.46797,0.41646,0.23564,1.24802,2.8916,2.71146,1.43168,0.00110362,0.00110362,0.00110362
25,211.147,1.23966,2.54409,1.90644,1.48197,0.74575,0.52778,0.45134,0.28785,0.75669,0.46797,0.41646,0.23564,1.24802,2.8916,2.71146,1.43168,0.00108947,0.00108947,0.00108947
26,219.326,1.45246,2.72809,2.06267,1.56852,0.727,0.50694,0.44236,0.27064,0.71357,0.43903,0.40381,0.25264,1.29808,2.44577,2.72383,1.37755,0.00107532,0.00107532,0.00107532
27,227.302,1.3065,2.69557,1.94258,1.52769,0.727,0.50694,0.44236,0.27064,0.71357,0.43903,0.40381,0.25264,1.29808,2.44577,2.72383,1.37755,0.00106118,0.00106118,0.00106118
28,235.674,1.38868,2.80685,1.97136,1.52139,0.727,0.50694,0.44236,0.27064,0.71357,0.43903,0.40381,0.25264,1.29808,2.44577,2.72383,1.37755,0.00104703,0.00104703,0.00104703
29,244.399,1.27389,2.40997,1.96123,1.49962,0.73743,0.56944,0.50159,0.29225,0.68018,0.51389,0.37996,0.23294,1.34375,2.95955,2.7037,1.41123,0.00103288,0.00103288,0.00103288
30,252.9,1.39132,2.91503,2.00372,1.56174,0.73743,0.56944,0.50159,0.29225,0.68018,0.51389,0.37996,0.23294,1.34375,2.95955,2.7037,1.41123,0.00101873,0.00101873,0.00101873
31,261.313,1.29368,2.77628,1.9547,1.49786,0.7184,0.54861,0.5148,0.32064,0.82444,0.38288,0.45726,0.22565,1.35948,3.10878,2.44906,1.3962,0.00100459,0.00100459,0.00100459
32,269.594,1.39428,2.84049,1.98762,1.54697,0.7184,0.54861,0.5148,0.32064,0.82444,0.38288,0.45726,0.22565,1.35948,3.10878,2.44906,1.3962,0.00099044,0.00099044,0.00099044
33,278.85,1.29293,2.29679,1.81071,1.47806,0.72215,0.56944,0.54469,0.32619,0.72215,0.56944,0.52626,0.30322,1.24734,2.57728,2.41496,1.33296,0.000976293,0.000976293,0.000976293
34,287.514,1.44752,2.54978,1.84692,1.58338,0.72215,0.56944,0.54469,0.32619,0.72215,0.56944,0.52626,0.30322,1.24734,2.57728,2.41496,1.33296,0.000962146,0.000962146,0.000962146
35,295.842,1.20015,2.42545,1.78728,1.41485,0.72215,0.56944,0.54469,0.32619,0.72215,0.56944,0.52626,0.30322,1.24734,2.57728,2.41496,1.33296,0.000947999,0.000947999,0.000947999
36,304.699,1.40259,2.89012,1.92014,1.53253,0.75771,0.49904,0.54023,0.34126,0.75771,0.49904,0.51864,0.32162,1.16751,2.65547,2.21891,1.26267,0.000933851,0.000933851,0.000933851
37,313.274,1.38726,2.87765,1.94467,1.62029,0.75771,0.49904,0.54023,0.34126,0.75771,0.49904,0.51864,0.32162,1.16751,2.65547,2.21891,1.26267,0.000919704,0.000919704,0.000919704
38,321.604,1.33481,2.38982,1.77412,1.48421,0.8133,0.56494,0.53355,0.34835,0.88528,0.46205,0.50708,0.30253,1.085,2.73201,2.12776,1.22849,0.000905557,0.000905557,0.000905557
39,330.086,1.37259,2.61907,1.74433,1.51294,0.8133,0.56494,0.53355,0.34835,0.88528,0.46205,0.50708,0.30253,1.085,2.73201,2.12776,1.22849,0.00089141,0.00089141,0.00089141
40,338.316,1.36514,2.83954,1.83931,1.48773,0.88551,0.56796,0.57066,0.39902,0.82594,0.52323,0.55043,0.35869,0.98367,2.36453,1.78178,1.20235,0.000877263,0.000877263,0.000877263
41,346.519,1.19017,2.34152,1.62786,1.34714,0.88551,0.56796,0.57066,0.39902,0.82594,0.52323,0.55043,0.35869,0.98367,2.36453,1.78178,1.20235,0.000863116,0.000863116,0.000863116
42,354.753,1.22391,2.44953,1.6737,1.39831,0.89818,0.54861,0.58367,0.40714,0.83695,0.55469,0.56041,0.36628,0.95419,2.19153,1.65445,1.20092,0.000848969,0.000848969,0.000848969
43,363.039,1.49065,3.29838,1.93478,1.6505,0.89818,0.54861,0.58367,0.40714,0.83695,0.55469,0.56041,0.36628,0.95419,2.19153,1.65445,1.20092,0.000834822,0.000834822,0.000834822
44,371.03,1.07142,2.07109,1.50754,1.28604,0.89818,0.54861,0.58367,0.40714,0.83695,0.55469,0.56041,0.36628,0.95419,2.19153,1.65445,1.20092,0.000820675,0.000820675,0.000820675
45,380.967,1.21787,2.37919,1.63512,1.38813,0.92264,0.54267,0.56981,0.4023,0.8587,0.48712,0.54147,0.36716,0.99864,2.1303,1.74974,1.22302,0.000806528,0.000806528,0.000806528
46,389.233,1.22278,2.44443,1.7895,1.40762,0.92264,0.54267,0.56981,0.4023,0.8587,0.48712,0.54147,0.36716,0.99864,2.1303,1.74974,1.22302,0.00079238,0.00079238,0.00079238
47,397.646,1.17703,2.43723,1.70531,1.45323,0.95534,0.50694,0.57222,0.38505,0.8899,0.45139,0.54703,0.35389,1.01915,2.12839,1.71299,1.2407,0.000778233,0.000778233,0.000778233
48,406.191,1.20655,2.58445,1.65977,1.46599,0.95534,0.50694,0.57222,0.38505,0.8899,0.45139,0.54703,0.35389,1.01915,2.12839,1.71299,1.2407,0.000764086,0.000764086,0.000764086
49,414.55,1.25148,2.31274,1.63011,1.43715,0.93542,0.54861,0.57956,0.40505,0.87318,0.49306,0.55831,0.36076,0.99837,2.17586,1.54567,1.23313,0.000749939,0.000749939,0.000749939
50,422.43,1.12516,2.50462,1.79581,1.43388,0.93542,0.54861,0.57956,0.40505,0.87318,0.49306,0.55831,0.36076,0.99837,2.17586,1.54567,1.23313,0.000735792,0.000735792,0.000735792
51,430.606,1.13785,2.34643,1.56625,1.32582,0.93542,0.54861,0.57956,0.40505,0.87318,0.49306,0.55831,0.36076,0.99837,2.17586,1.54567,1.23313,0.000721645,0.000721645,0.000721645
52,438.953,1.25382,2.64609,1.63576,1.4785,0.93451,0.54861,0.57877,0.41337,0.8723,0.49306,0.55359,0.35521,1.00164,2.15122,1.42829,1.23055,0.000707498,0.000707498,0.000707498
53,447.096,1.19375,2.31128,1.56666,1.43706,0.93451,0.54861,0.57877,0.41337,0.8723,0.49306,0.55359,0.35521,1.00164,2.15122,1.42829,1.23055,0.000693351,0.000693351,0.000693351
54,455.305,1.26718,2.44491,1.67607,1.45394,0.8846,0.54861,0.58214,0.40411,0.83142,0.49306,0.55696,0.36469,0.97806,2.07615,1.46541,1.22611,0.000679204,0.000679204,0.000679204
55,463.537,1.22931,2.49603,1.66042,1.41366,0.8846,0.54861,0.58214,0.40411,0.83142,0.49306,0.55696,0.36469,0.97806,2.07615,1.46541,1.22611,0.000665057,0.000665057,0.000665057
56,471.86,1.28959,2.41194,1.59703,1.4582,0.88623,0.54861,0.58555,0.39151,0.83397,0.49306,0.56037,0.36893,0.98149,2.02098,1.47818,1.21379,0.000650909,0.000650909,0.000650909
57,480.151,1.23301,2.08993,1.70087,1.37126,0.88623,0.54861,0.58555,0.39151,0.83397,0.49306,0.56037,0.36893,0.98149,2.02098,1.47818,1.21379,0.000636762,0.000636762,0.000636762
58,488.311,1.19605,2.03404,1.67796,1.39787,0.88434,0.54861,0.54787,0.38113,0.80455,0.57862,0.53746,0.35091,0.91485,1.95733,1.51021,1.15371,0.000622615,0.000622615,0.000622615
59,496.621,1.24815,2.59816,1.57466,1.46858,0.88434,0.54861,0.54787,0.38113,0.80455,0.57862,0.53746,0.35091,0.91485,1.95733,1.51021,1.15371,0.000608468,0.000608468,0.000608468
60,504.812,1.19179,2.33021,1.63039,1.40996,0.88434,0.54861,0.54787,0.38113,0.80455,0.57862,0.53746,0.35091,0.91485,1.95733,1.51021,1.15371,0.000594321,0.000594321,0.000594321
61,512.817,1.0248,1.86822,1.40686,1.32099,0.84632,0.56478,0.56437,0.39603,0.82664,0.49862,0.55396,0.3653,0.87984,1.89068,1.46787,1.12731,0.000580174,0.000580174,0.000580174
62,521.071,1.1397,2.12933,1.5926,1.36955,0.84632,0.56478,0.56437,0.39603,0.82664,0.49862,0.55396,0.3653,0.87984,1.89068,1.46787,1.12731,0.000566027,0.000566027,0.000566027
63,529.518,1.2546,2.5277,1.65184,1.47993,0.80639,0.59028,0.56333,0.41028,0.75909,0.59944,0.55292,0.37251,0.86525,1.97093,1.43952,1.12506,0.00055188,0.00055188,0.00055188
64,537.604,0.98381,2.00439,1.38756,1.25709,0.80639,0.59028,0.56333,0.41028,0.75909,0.59944,0.55292,0.37251,0.86525,1.97093,1.43952,1.12506,0.000537733,0.000537733,0.000537733
65,545.816,1.09897,2.37385,1.60809,1.38365,0.86349,0.54861,0.56256,0.41476,0.87535,0.49034,0.54132,0.36031,0.92024,2.0924,1.42927,1.15948,0.000523586,0.000523586,0.000523586
66,553.991,1.13186,2.25957,1.49165,1.38507,0.86349,0.54861,0.56256,0.41476,0.87535,0.49034,0.54132,0.36031,0.92024,2.0924,1.42927,1.15948,0.000509438,0.000509438,0.000509438
67,562.131,1.13923,2.28753,1.45182,1.38131,0.86349,0.54861,0.56256,0.41476,0.87535,0.49034,0.54132,0.36031,0.92024,2.0924,1.42927,1.15948,0.000495291,0.000495291,0.000495291
68,570.253,1.12393,2.09659,1.45915,1.35824,0.92752,0.54861,0.58546,0.43966,0.86034,0.49306,0.55793,0.36329,0.93158,2.26928,1.43511,1.16428,0.000481144,0.000481144,0.000481144
69,578.279,1.18259,2.24058,1.60751,1.37535,0.92752,0.54861,0.58546,0.43966,0.86034,0.49306,0.55793,0.36329,0.93158,2.26928,1.43511,1.16428,0.000466997,0.000466997,0.000466997
70,586.595,1.11902,2.36053,1.45776,1.3764,0.9568,0.52464,0.58287,0.44581,0.89273,0.47014,0.55534,0.36729,0.92343,2.35637,1.46473,1.15452,0.00045285,0.00045285,0.00045285
71,594.805,1.228,2.66106,1.54161,1.47417,0.9568,0.52464,0.58287,0.44581,0.89273,0.47014,0.55534,0.36729,0.92343,2.35637,1.46473,1.15452,0.000438703,0.000438703,0.000438703
72,603.067,1.16417,2.15197,1.50465,1.34987,0.89449,0.54861,0.58129,0.44372,0.83483,0.49306,0.5431,0.36574,0.8579,2.34635,1.4126,1.12479,0.000424556,0.000424556,0.000424556
73,611.188,1.08146,2.1533,1.40554,1.2902,0.89449,0.54861,0.58129,0.44372,0.83483,0.49306,0.5431,0.36574,0.8579,2.34635,1.4126,1.12479,0.000410409,0.000410409,0.000410409
74,619.421,1.14399,2.7707,1.62834,1.37261,0.89063,0.54861,0.581,0.42067,0.82729,0.49306,0.52641,0.34104,0.84663,2.27804,1.42845,1.11534,0.000396262,0.000396262,0.000396262
75,627.39,1.08041,1.95472,1.52315,1.34727,0.89063,0.54861,0.581,0.42067,0.82729,0.49306,0.52641,0.34104,0.84663,2.27804,1.42845,1.11534,0.000382115,0.000382115,0.000382115
76,635.382,1.02626,1.96218,1.42142,1.28703,0.89063,0.54861,0.581,0.42067,0.82729,0.49306,0.52641,0.34104,0.84663,2.27804,1.42845,1.11534,0.000367967,0.000367967,0.000367967
77,643.479,1.07419,2.24971,1.56324,1.33941,0.89084,0.54861,0.57458,0.41852,0.83119,0.49306,0.52,0.35321,0.84544,2.13934,1.42706,1.10867,0.00035382,0.00035382,0.00035382
78,651.716,1.14553,2.39275,1.50641,1.39167,0.89084,0.54861,0.57458,0.41852,0.83119,0.49306,0.52,0.35321,0.84544,2.13934,1.42706,1.10867,0.000339673,0.000339673,0.000339673
79,659.924,1.19904,2.46677,1.63202,1.47783,0.93968,0.54861,0.57774,0.4285,0.87482,0.49306,0.52215,0.34983,0.87106,2.0291,1.38774,1.11679,0.000325526,0.000325526,0.000325526
80,668.068,1.15022,2.3148,1.48366,1.38538,0.93968,0.54861,0.57774,0.4285,0.87482,0.49306,0.52215,0.34983,0.87106,2.0291,1.38774,1.11679,0.000311379,0.000311379,0.000311379
81,676.401,1.19973,2.43511,1.49539,1.41775,0.94607,0.54861,0.57435,0.41706,0.87905,0.49306,0.52913,0.36055,0.89905,1.98336,1.34155,1.13338,0.000297232,0.000297232,0.000297232
82,684.546,1.04921,2.17842,1.34217,1.2682,0.94607,0.54861,0.57435,0.41706,0.87905,0.49306,0.52913,0.36055,0.89905,1.98336,1.34155,1.13338,0.000283085,0.000283085,0.000283085
83,692.548,0.99319,2.17275,1.37172,1.3138,0.94607,0.54861,0.57435,0.41706,0.87905,0.49306,0.52913,0.36055,0.89905,1.98336,1.34155,1.13338,0.000268938,0.000268938,0.000268938
84,700.515,0.99963,2.05562,1.399,1.30221,0.94795,0.54131,0.5792,0.41881,0.85719,0.46836,0.53282,0.37461,0.91266,1.98808,1.31311,1.14754,0.000254791,0.000254791,0.000254791
85,708.989,1.07491,2.27699,1.42153,1.28217,0.94795,0.54131,0.5792,0.41881,0.85719,0.46836,0.53282,0.37461,0.91266,1.98808,1.31311,1.14754,0.000240644,0.000240644,0.000240644
86,717.113,1.02869,2.02882,1.3524,1.28261,0.94313,0.54074,0.58163,0.41888,0.87347,0.4862,0.54395,0.37543,0.91801,1.9671,1.29546,1.14447,0.000226497,0.000226497,0.000226497
87,725.453,1.1252,2.31755,1.47015,1.32231,0.94313,0.54074,0.58163,0.41888,0.87347,0.4862,0.54395,0.37543,0.91801,1.9671,1.29546,1.14447,0.000212349,0.000212349,0.000212349
88,733.553,1.03323,1.95305,1.35462,1.278,0.94496,0.53413,0.5914,0.41906,0.87245,0.48021,0.55009,0.38091,0.92348,1.9377,1.27551,1.14507,0.000198202,0.000198202,0.000198202
89,741.765,1.19202,2.51129,1.46604,1.40905,0.94496,0.53413,0.5914,0.41906,0.87245,0.48021,0.55009,0.38091,0.92348,1.9377,1.27551,1.14507,0.000184055,0.000184055,0.000184055
90,749.881,1.0161,2.05222,1.34627,1.26776,0.86949,0.54861,0.58681,0.41426,0.81305,0.49306,0.55567,0.37154,0.92168,1.93418,1.25914,1.14832,0.000169908,0.000169908,0.000169908
91,757.486,1.05422,1.7566,1.94594,1.37733,0.86949,0.54861,0.58681,0.41426,0.81305,0.49306,0.55567,0.37154,0.92168,1.93418,1.25914,1.14832,0.000155761,0.000155761,0.000155761
92,764.977,1.14401,1.98958,1.98303,1.48812,0.86949,0.54861,0.58681,0.41426,0.81305,0.49306,0.55567,0.37154,0.92168,1.93418,1.25914,1.14832,0.000141614,0.000141614,0.000141614
93,772.486,1.05241,1.9915,1.71874,1.39477,0.91222,0.54861,0.60282,0.41394,0.84248,0.49306,0.56349,0.36476,0.90423,1.94225,1.2932,1.14384,0.000127467,0.000127467,0.000127467
94,779.973,1.03246,1.88915,1.92219,1.33649,0.91222,0.54861,0.60282,0.41394,0.84248,0.49306,0.56349,0.36476,0.90423,1.94225,1.2932,1.14384,0.00011332,0.00011332,0.00011332
95,787.938,1.03812,1.73642,1.83555,1.43997,0.90237,0.56944,0.60432,0.41385,0.83376,0.51389,0.55915,0.36677,0.88725,1.94773,1.38039,1.14068,9.91726e-05,9.91726e-05,9.91726e-05
96,795.557,0.98839,1.75121,1.80737,1.35263,0.90237,0.56944,0.60432,0.41385,0.83376,0.51389,0.55915,0.36677,0.88725,1.94773,1.38039,1.14068,8.50255e-05,8.50255e-05,8.50255e-05
97,803.477,1.05031,1.8304,1.89738,1.37898,0.89604,0.56944,0.607,0.41067,0.82723,0.51389,0.5414,0.35938,0.89129,1.94798,1.46371,1.1409,7.08784e-05,7.08784e-05,7.08784e-05
98,811.177,0.97891,1.88815,1.71279,1.32989,0.89604,0.56944,0.607,0.41067,0.82723,0.51389,0.5414,0.35938,0.89129,1.94798,1.46371,1.1409,5.67313e-05,5.67313e-05,5.67313e-05
99,818.673,0.9886,1.92412,1.71728,1.3692,0.89604,0.56944,0.607,0.41067,0.82723,0.51389,0.5414,0.35938,0.89129,1.94798,1.46371,1.1409,4.25842e-05,4.25842e-05,4.25842e-05
100,826.333,1.00272,1.8336,1.804,1.35003,0.89573,0.56944,0.61248,0.41224,0.82455,0.51389,0.54975,0.36482,0.90043,1.97073,1.52956,1.14766,2.84371e-05,2.84371e-05,2.84371e-05
